commit_id,Unnamed: 0,project,fix_date,buggy,date,repo,gap,target,V,ENT,DD,MDNL,NB,REC,NP,RG,NTM,RII,ENT_V,DD_V,TS
62f30afabae369ce4a81e03457ee5999c59b9fb0,0,flink,,False,2010-12-18 00:07:10,flink,,done,614.3374596590115,4.80555796537426,24.33333333333333,0.0,0.0,0.5730769230769232,1.0,0.1025641025641025,19.0,0.639453357100416,0.0259373315775069,0.0371813965689448,0.3333333333333333
4cdb77107316f9ece891a9b5781ecf4c10fcb041,1,flink,,False,2010-12-23 02:37:07,flink,,done,11.60964047443681,3.773557262275185,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.1875,0.3250365306819066,0.0861353116146786,0.0
e5a3a59b33d4d5877588e159db2f5bcea6bad7f4,2,flink,,False,2010-12-29 05:12:45,flink,,done,1981.15205927041,5.349443070885936,61.0,0.0,0.0,0.9455128205128204,1.5,0.3272727272727272,20.0,0.5505952380952381,0.0053734302100399,0.03323015973443,1.5
fcf2afebfb123527f2a72be2392efb35c45ceb2a,3,flink,,False,2010-12-29 07:00:14,flink,,done,29.17690854519953,4.020773500841511,2.75,0.0,0.0,0.25,1.0,0.5,12.5,0.3980429292929293,0.2989265149955197,0.1270593858796287,1.0
816369425177cedc696f93b6daeedc31e601dd52,4,flink,,False,2011-01-06 04:57:38,flink,,done,614.3374596590115,4.80555796537426,24.33333333333333,0.0,0.0,0.5730769230769232,1.0,0.1025641025641025,19.0,0.639453357100416,0.0259373315775069,0.0371813965689448,0.3333333333333333
5cf06bdfb63382cef07b26db0a63045e0e3004de,5,flink,,False,2011-01-06 04:57:46,flink,,done,11.60964047443681,3.773557262275185,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.1875,0.3250365306819066,0.0861353116146786,0.0
03ce1925cde3637bf51209da8d0a9dbf9fbb4eab,6,flink,,False,2011-01-06 22:02:56,flink,,done,342.41438113505893,4.675676882856976,14.333333333333334,0.3333333333333333,0.1666666666666666,0.9464285714285716,3.0,0.1367724867724867,17.666666666666668,0.6431096681096681,0.0654167590574353,0.0684687329552442,0.1666666666666666
78cee55f0fc0c43885fc2254e2b14939e17224ee,7,flink,,False,2011-01-08 00:44:48,flink,,done,1665.9954278908665,5.66136958325899,69.0,2.0,0.0,0.6956521739130435,0.0,0.2142857142857142,32.0,0.627906976744186,0.0033981903482329,0.0414166802890649,1.0
ad802effff6a33ee7f83bb50a1099eae3c697956,8,flink,,False,2011-01-08 02:23:31,flink,,done,646.6451000387101,4.872261292106014,24.09090909090909,1.0909090909090908,0.0,0.6500746012187659,1.2727272727272727,0.265495867768595,21.0,0.5529240536784893,0.0210965984582467,0.0368029662233018,1.3636363636363635
058f5ec785c29a580216c12faab9bd7f320efdf2,9,flink,,False,2011-01-08 03:09:29,flink,,done,7424.062536733657,5.1586848907447,157.0,1.0,0.0,0.8350774748824136,0.0,0.2467044134727061,22.25,0.6975403225806451,0.0009669401288384,0.0230798618810773,10.0
